Message ID,Raw Data,text_in_one_line,text_without_mentions
13702,"That's the one! It's regarding the delopment on an IoT platform via Blockchain where they will restore users data back to their individual owner. Which mean, for example, the owner can control to whom or to which premises they wanted to disclosed their personal data with.","That's the one! It's regarding the delopment on an IoT platform via Blockchain where they will restore users data back to their individual owner. Which mean, for example, the owner can control to whom or to which premises they wanted to disclosed their personal data with.","That's the one! It's regarding the delopment on an IoT platform via Blockchain where they will restore users data back to their individual owner. Which mean, for example, the owner can control to whom or to which premises they wanted to disclosed their personal data with."
13701,This Jasmy? Interesting,This Jasmy? Interesting,This Jasmy? Interesting
13700,Jasmy?,Jasmy?,Jasmy?
13699,😍😍,😍😍,😍😍
13698,Yes recently listed on coinbase and bitfinex I'm waiting for binance  😍jasmy is undervalued  Sony backed team right?,Yes recently listed on coinbase and bitfinex I'm waiting for binance  😍jasmy is undervalued  Sony backed team right?,Yes recently listed on coinbase and bitfinex I'm waiting for binance 😍jasmy is undervalued Sony backed team right?
13697,Hey guys! have you heard about Jasmy?,Hey guys! have you heard about Jasmy?,Hey guys! have you heard about Jasmy?
13691,"Greetings everyone, I'm Hala .","Greetings everyone, I'm Hala .","Greetings everyone, I'm Hala ."
13690,The team that i know launching new degen play today. Last projects went 25x and 20x... Its Safu. Take a look. @ShibaBuyback,The team that i know launching new degen play today. Last projects went 25x and 20x... Its Safu. Take a look. @ShibaBuyback,The team that i know launching new degen play today. Last projects went 25x and 20x... Its Safu. Take a look. 
13687,"thnx for the info, my dude, have a good time 🙌🏽🙌🏽","thnx for the info, my dude, have a good time 🙌🏽🙌🏽","thnx for the info, my dude, have a good time 🙌🏽🙌🏽"
13686,"ok, dude, gotta do that then 😁👍🏽👍🏽","ok, dude, gotta do that then 😁👍🏽👍🏽","ok, dude, gotta do that then 😁👍🏽👍🏽"
13685,Believe me that won't take too much time for you 👌🏼😉,Believe me that won't take too much time for you 👌🏼😉,Believe me that won't take too much time for you 👌🏼😉
13684,M8 you can easily find the CA in search,M8 you can easily find the CA in search,M8 you can easily find the CA in search
13683,"@cryptowizzzzard can you, please, share a link to their official website, my dude?","@cryptowizzzzard can you, please, share a link to their official website, my dude?"," can you, please, share a link to their official website, my dude?"
13681,Ahah that's an understatement m8 👌🏼,Ahah that's an understatement m8 👌🏼,Ahah that's an understatement m8 👌🏼
13680,@cryptowizzzzard thanks for a feedback man,@cryptowizzzzard thanks for a feedback man, thanks for a feedback man
13679,gonna check Crypto Assault out in deep later,gonna check Crypto Assault out in deep later,gonna check Crypto Assault out in deep later
13678,very promising idea for sure,very promising idea for sure,very promising idea for sure
13677,@cryptowizzzzard alright man I think I got the concept,@cryptowizzzzard alright man I think I got the concept, alright man I think I got the concept
13676,If that satellite lands within a player's territory they will receive a nice ETH bonus too 👌🏼,If that satellite lands within a player's territory they will receive a nice ETH bonus too 👌🏼,If that satellite lands within a player's territory they will receive a nice ETH bonus too 👌🏼
13675,Also a satellite which I mentioned earlier will drop from the sky once a day that contains a huge reward,Also a satellite which I mentioned earlier will drop from the sky once a day that contains a huge reward,Also a satellite which I mentioned earlier will drop from the sky once a day that contains a huge reward
13674,Indeed m8 👍🏼,Indeed m8 👍🏼,Indeed m8 👍🏼
13673,I assume that Ethereum would be given to players as a reward,I assume that Ethereum would be given to players as a reward,I assume that Ethereum would be given to players as a reward
13672,Like CC give the whole army of units some valuable buffs not only to individuals,Like CC give the whole army of units some valuable buffs not only to individuals,Like CC give the whole army of units some valuable buffs not only to individuals
13671,ahh metaverse?,ahh metaverse?,ahh metaverse?
13670,Yep it's kinda the same but not exactly to what CryptoCommanders are offering,Yep it's kinda the same but not exactly to what CryptoCommanders are offering,Yep it's kinda the same but not exactly to what CryptoCommanders are offering
13669,Yes m8 correct: the more territory a player owns the more they are rewarded,Yes m8 correct: the more territory a player owns the more they are rewarded,Yes m8 correct: the more territory a player owns the more they are rewarded
13667,so players need to capture territories in order to become more successful in the game yup?,so players need to capture territories in order to become more successful in the game yup?,so players need to capture territories in order to become more successful in the game yup?
13666,how bout weapon as NFT with unique abilities every each of weapon and u can sell it on the marketplace like Vaporbit?,how bout weapon as NFT with unique abilities every each of weapon and u can sell it on the marketplace like Vaporbit?,how bout weapon as NFT with unique abilities every each of weapon and u can sell it on the marketplace like Vaporbit?
13665,"As you travel towards the center, each ring contains more valuable land and the satellite also has an increased chance of landing there","As you travel towards the center, each ring contains more valuable land and the satellite also has an increased chance of landing there","As you travel towards the center, each ring contains more valuable land and the satellite also has an increased chance of landing there"
13664,Sorry m8 I forgot to mention that the world itself is divided into rings,Sorry m8 I forgot to mention that the world itself is divided into rings,Sorry m8 I forgot to mention that the world itself is divided into rings
13663,"wait you said ""to the center""? what do you mean?","wait you said ""to the center""? what do you mean?","wait you said ""to the center""? what do you mean?"
13662,"ya, my dude, we get it 👍🏽👍🏽","ya, my dude, we get it 👍🏽👍🏽","ya, my dude, we get it 👍🏽👍🏽"
13660,yeah I understand that it's needed to be done np,yeah I understand that it's needed to be done np,yeah I understand that it's needed to be done np
13659,"So everyone will not just ""+W"" to the center of the map you know 😄","So everyone will not just ""+W"" to the center of the map you know 😄","So everyone will not just ""+W"" to the center of the map you know 😄"
13658,Yes m8 but it's all for making everything balanced out the right way,Yes m8 but it's all for making everything balanced out the right way,Yes m8 but it's all for making everything balanced out the right way
13657,so some restrictions are present as well,so some restrictions are present as well,so some restrictions are present as well
13656,In addition to that ground units will need to avoid water trees mountains and other ground units while aerial units will be able to fly over most obstacles,In addition to that ground units will need to avoid water trees mountains and other ground units while aerial units will be able to fly over most obstacles,In addition to that ground units will need to avoid water trees mountains and other ground units while aerial units will be able to fly over most obstacles
13655,In fact unit must refuel for 3 hours after every move and has a max distance that it can travel at a time,In fact unit must refuel for 3 hours after every move and has a max distance that it can travel at a time,In fact unit must refuel for 3 hours after every move and has a max distance that it can travel at a time
13654,Well m8s sorry but that's not exactly the case,Well m8s sorry but that's not exactly the case,Well m8s sorry but that's not exactly the case
13653,"that would be awesome, my dude 👌🏽👌🏽","that would be awesome, my dude 👌🏽👌🏽","that would be awesome, my dude 👌🏽👌🏽"
13652,oh so there's a complete freedom of activities yup? you can take your units wherever you want to and do whatever you planned?,oh so there's a complete freedom of activities yup? you can take your units wherever you want to and do whatever you planned?,oh so there's a complete freedom of activities yup? you can take your units wherever you want to and do whatever you planned?
13651,Units will be moving in real-time to capture territory mine resources and well obviously battle other units,Units will be moving in real-time to capture territory mine resources and well obviously battle other units,Units will be moving in real-time to capture territory mine resources and well obviously battle other units
13650,It's all going on a huge 3D world with thousands of players,It's all going on a huge 3D world with thousands of players,It's all going on a huge 3D world with thousands of players
13649,Yeah of course m8,Yeah of course m8,Yeah of course m8
13648,@cryptowizzzzard where those battles are happening?,@cryptowizzzzard where those battles are happening?, where those battles are happening?
13647,@cryptowizzzzard any info about where the action is taking place?,@cryptowizzzzard any info about where the action is taking place?, any info about where the action is taking place?
13646,@cryptowizzzzard so far so good man,@cryptowizzzzard so far so good man, so far so good man
13643,"innovators would you call them, right??","innovators would you call them, right??","innovators would you call them, right??"
13640,"wow that's great, my dude, I like it 😁👍🏽👍🏽","wow that's great, my dude, I like it 😁👍🏽👍🏽","wow that's great, my dude, I like it 😁👍🏽👍🏽"
13639,To this date there's nothing even close to that on the market,To this date there's nothing even close to that on the market,To this date there's nothing even close to that on the market
13638,"It's actually what most of us gamers are interested in: unique NFT items (in this case — avatars), which have their own special abilities that can be used to enhance units and help gaining dominance on the battlefield 😉👌🏼","It's actually what most of us gamers are interested in: unique NFT items (in this case — avatars), which have their own special abilities that can be used to enhance units and help gaining dominance on the battlefield 😉👌🏼","It's actually what most of us gamers are interested in: unique NFT items (in this case — avatars), which have their own special abilities that can be used to enhance units and help gaining dominance on the battlefield 😉👌🏼"
13637,"++++ it sounds fun, dude, what's the deal?","++++ it sounds fun, dude, what's the deal?","++++ it sounds fun, dude, what's the deal?"
13636,what is this mechanic? can you explain shortly plz?,what is this mechanic? can you explain shortly plz?,what is this mechanic? can you explain shortly plz?
13635,Feel free to check it out too 👌🏼,Feel free to check it out too 👌🏼,Feel free to check it out too 👌🏼
13634,"@AndreasDoes the mechanic called ""CryptoCommanders"" is introduced in CryptoAssault","@AndreasDoes the mechanic called ""CryptoCommanders"" is introduced in CryptoAssault"," the mechanic called ""CryptoCommanders"" is introduced in CryptoAssault"
13633,Speaking of mechanics btw,Speaking of mechanics btw,Speaking of mechanics btw
13632,That's what I'm saying as well m8 👌🏼😉,That's what I'm saying as well m8 👌🏼😉,That's what I'm saying as well m8 👌🏼😉
13631,"wow, cool then 😁👍🏽👍🏽","wow, cool then 😁👍🏽👍🏽","wow, cool then 😁👍🏽👍🏽"
13629,"tell me, my dude, can units be combined, huh? like in purpose to make more powerful ones?","tell me, my dude, can units be combined, huh? like in purpose to make more powerful ones?","tell me, my dude, can units be combined, huh? like in purpose to make more powerful ones?"
13628,alright nice,alright nice,alright nice
13627,They will just go back to your inventory to be repaired for a few hours n8 and that's all 👌🏼,They will just go back to your inventory to be repaired for a few hours n8 and that's all 👌🏼,They will just go back to your inventory to be repaired for a few hours n8 and that's all 👌🏼
13626,ok if not what's happening with them? what is the mechanic?,ok if not what's happening with them? what is the mechanic?,ok if not what's happening with them? what is the mechanic?
13625,Units won't be destroyed if they fall in a battle 👌🏼,Units won't be destroyed if they fall in a battle 👌🏼,Units won't be destroyed if they fall in a battle 👌🏼
13624,And devs understand that too so no m8,And devs understand that too so no m8,And devs understand that too so no m8
13623,Yeah m8 I get it,Yeah m8 I get it,Yeah m8 I get it
13622,not sure tho but we will see,not sure tho but we will see,not sure tho but we will see
13621,"@AndreasDoes what do we have here, bro? new gaming gem??","@AndreasDoes what do we have here, bro? new gaming gem??"," what do we have here, bro? new gaming gem??"
13620,"you have my attention, dudes 👍🏽👍🏽","you have my attention, dudes 👍🏽👍🏽","you have my attention, dudes 👍🏽👍🏽"
13618,because they are bought with basically real users money so that is very important to know,because they are bought with basically real users money so that is very important to know,because they are bought with basically real users money so that is very important to know
13617,@cryptowizzzzard could those units you are talking about be destroyed potentially?,@cryptowizzzzard could those units you are talking about be destroyed potentially?, could those units you are talking about be destroyed potentially?
13615,seems like we have something quite good here,seems like we have something quite good here,seems like we have something quite good here
13614,@elonnotmusksorry man you asked me to tag,@elonnotmusksorry man you asked me to tag, man you asked me to tag
13613,By purchasing units you're getting a headstart to building your own in-game army which will fight for territorial supremacy,By purchasing units you're getting a headstart to building your own in-game army which will fight for territorial supremacy,By purchasing units you're getting a headstart to building your own in-game army which will fight for territorial supremacy
13612,In fact every unit is a unique tradeable ERC-721 token m8,In fact every unit is a unique tradeable ERC-721 token m8,In fact every unit is a unique tradeable ERC-721 token m8
13610,@cryptowizzzzard what's up with those units tho? what are they?,@cryptowizzzzard what's up with those units tho? what are they?, what's up with those units tho? what are they?
13609,really? that's interesting,really? that's interesting,really? that's interesting
13608,hey sounds like something I have been looking for,hey sounds like something I have been looking for,hey sounds like something I have been looking for
13607,And it offers users an option to use Ethereum to buy units which later would be sent to battle m8,And it offers users an option to use Ethereum to buy units which later would be sent to battle m8,And it offers users an option to use Ethereum to buy units which later would be sent to battle m8
13606,CryptoAssault m8 is a game built on Blockchain,CryptoAssault m8 is a game built on Blockchain,CryptoAssault m8 is a game built on Blockchain
13605,Oh m8 you really don't know what you're missing then 👌🏼,Oh m8 you really don't know what you're missing then 👌🏼,Oh m8 you really don't know what you're missing then 👌🏼
13604,what's that?,what's that?,what's that?
13603,"""CryptoAssault""? no actually not","""CryptoAssault""? no actually not","""CryptoAssault""? no actually not"
13602,@AndreasDoes have you heard about CryptoAssault?,@AndreasDoes have you heard about CryptoAssault?, have you heard about CryptoAssault?
13601,@AndreasDoes guess I have something to share with you as a gamer m8,@AndreasDoes guess I have something to share with you as a gamer m8, guess I have something to share with you as a gamer m8
13600,yeah pretty much,yeah pretty much,yeah pretty much
13599,I see you're definitely know where the wind blows m8 👌🏼,I see you're definitely know where the wind blows m8 👌🏼,I see you're definitely know where the wind blows m8 👌🏼
13595,no problem at all,no problem at all,no problem at all
13594,of course man,of course man,of course man
13592,"will be very thankful for that, my dude 👍🏽👍🏽","will be very thankful for that, my dude 👍🏽👍🏽","will be very thankful for that, my dude 👍🏽👍🏽"
13591,"@AndreasDoes can you, please, tag me if you'll get any answers?","@AndreasDoes can you, please, tag me if you'll get any answers?"," can you, please, tag me if you'll get any answers?"
13590,"my dude, we're in the same boat here, I tell ya 😁👌🏽👌🏽","my dude, we're in the same boat here, I tell ya 😁👌🏽👌🏽","my dude, we're in the same boat here, I tell ya 😁👌🏽👌🏽"
13588,would appreciate all the feedbacks guys srsly,would appreciate all the feedbacks guys srsly,would appreciate all the feedbacks guys srsly
13587,any NFTholics or gamers in here who can give me a good call on it?,any NFTholics or gamers in here who can give me a good call on it?,any NFTholics or gamers in here who can give me a good call on it?
13586,I always was a game fan and now searching for the right place to jump in considering NFT market growing,I always was a game fan and now searching for the right place to jump in considering NFT market growing,I always was a game fan and now searching for the right place to jump in considering NFT market growing
13585,I'm looking for a great gaming project as NFTs are starting to be a real deal,I'm looking for a great gaming project as NFTs are starting to be a real deal,I'm looking for a great gaming project as NFTs are starting to be a real deal
13584,greetings ladies and gentlemen,greetings ladies and gentlemen,greetings ladies and gentlemen
13581,"FLOKI SHIBA is the new BSC Gem

⚡️STEALTH LAUNCH⚡️

🚀 Anytime with only 15 members 🚀

Join now
@Flokishibagroup",FLOKI SHIBA is the new BSC Gem  ⚡️STEALTH LAUNCH⚡️  🚀 Anytime with only 15 members 🚀  Join now @Flokishibagroup,FLOKI SHIBA is the new BSC Gem ⚡️STEALTH LAUNCH⚡️ 🚀 Anytime with only 15 members 🚀 Join now 
13578,Assalamaleku,Assalamaleku,Assalamaleku
13577,Hin,Hin,Hin
13576,You might wanna visit @onlypumpup! Fairlaunching today at 2:30PM UTC! Dev is Doxxed! Huge marketing plan ahead!,You might wanna visit @onlypumpup! Fairlaunching today at 2:30PM UTC! Dev is Doxxed! Huge marketing plan ahead!,You might wanna visit ! Fairlaunching today at 2:30PM UTC! Dev is Doxxed! Huge marketing plan ahead!
13575,Sup men,Sup men,Sup men
13574,Yo guys!,Yo guys!,Yo guys!
13571,"Anubi, is the egyptian name of the god of death and the Underworld. In the Crypto space Anubis comes to protect its holders and to overtake its biggest competitors #DOGE #SHIBA!

⚔️ 1Q Total Supply
🔥 70% Burn
🌍 1% reflect
🧾 1% LP fee
CONTRACT: 
📚Main Features: 0 x43d994d7e31096094fed9dff803194858a37e89c
✅ LP LOCKED
✅ Completely un-ruggable!
✅ Verified Contract

 TG: @NewAnubis","Anubi, is the egyptian name of the god of death and the Underworld. In the Crypto space Anubis comes to protect its holders and to overtake its biggest competitors #DOGE #SHIBA!  ⚔️ 1Q Total Supply 🔥 70% Burn 🌍 1% reflect 🧾 1% LP fee CONTRACT:  📚Main Features: 0 x43d994d7e31096094fed9dff803194858a37e89c ✅ LP LOCKED ✅ Completely un-ruggable! ✅ Verified Contract   TG: @NewAnubis","Anubi, is the egyptian name of the god of death and the Underworld. In the Crypto space Anubis comes to protect its holders and to overtake its biggest competitors #DOGE #SHIBA! ⚔️ 1Q Total Supply 🔥 70% Burn 🌍 1% reflect 🧾 1% LP fee CONTRACT: 📚Main Features: 0 x43d994d7e31096094fed9dff803194858a37e89c ✅ LP LOCKED ✅ Completely un-ruggable! ✅ Verified Contract TG: "
13570,"**Welcome Paige to CryptoRobinhooders🚀. 

Feel free to discuss and share your opinion with the rest of us!**",**Welcome Paige to CryptoRobinhooders🚀.   Feel free to discuss and share your opinion with the rest of us!**,**Welcome Paige to CryptoRobinhooders🚀. Feel free to discuss and share your opinion with the rest of us!**
13555,It's an opportunity you shouldn't miss miss. And it has to do with gaming NFTs.,It's an opportunity you shouldn't miss miss. And it has to do with gaming NFTs.,It's an opportunity you shouldn't miss miss. And it has to do with gaming NFTs.
13554,You can join me an wait for holoride launch,You can join me an wait for holoride launch,You can join me an wait for holoride launch
13553,"It is scheduled Oct. 15, 6 PM CEST. Bettee check their twitter CryptoHelp_com","It is scheduled Oct. 15, 6 PM CEST. Bettee check their twitter CryptoHelp_com","It is scheduled Oct. 15, 6 PM CEST. Bettee check their twitter CryptoHelp_com"
13552,Sure thing! When?,Sure thing! When?,Sure thing! When?
13551,I know! You might wanna join its AMA to know it better,I know! You might wanna join its AMA to know it better,I know! You might wanna join its AMA to know it better
13550,Gotta agree on this tho. Worth giving a try,Gotta agree on this tho. Worth giving a try,Gotta agree on this tho. Worth giving a try
13549,Heyyy check out Dreams Quest!,Heyyy check out Dreams Quest!,Heyyy check out Dreams Quest!
13548,That's totally out of the picture. And risk is always with investing. What's great in this is that you are presented with a good collateral system,That's totally out of the picture. And risk is always with investing. What's great in this is that you are presented with a good collateral system,That's totally out of the picture. And risk is always with investing. What's great in this is that you are presented with a good collateral system
13547,"Hello everyone, any recommended NFT games here?","Hello everyone, any recommended NFT games here?","Hello everyone, any recommended NFT games here?"
13546,Isn't that too risky?,Isn't that too risky?,Isn't that too risky?
13544,"Well you can start investing with little time or money, even without great knowledge in the field","Well you can start investing with little time or money, even without great knowledge in the field","Well you can start investing with little time or money, even without great knowledge in the field"
13543,Not quite a long time! But how is this one helpful tho?,Not quite a long time! But how is this one helpful tho?,Not quite a long time! But how is this one helpful tho?
13542,"You've been in the crypto space for long? Well if not, you might find CryptoHelp helpful for you","You've been in the crypto space for long? Well if not, you might find CryptoHelp helpful for you","You've been in the crypto space for long? Well if not, you might find CryptoHelp helpful for you"
13541,Hey guys! Any good projects now?,Hey guys! Any good projects now?,Hey guys! Any good projects now?
13539,Bgu,Bgu,Bgu
13538,Hello can you give bnb please badly needed?,Hello can you give bnb please badly needed?,Hello can you give bnb please badly needed?
13537,Hello everyone👋,Hello everyone👋,Hello everyone👋
13533,"@GenshinShibaDark
It's safe",@GenshinShibaDark It's safe, It's safe
13532,Assalamaleku,Assalamaleku,Assalamaleku
13530,👍,👍,👍
13528,"Hi everyone, 🤘🤘🤘Ex-Sports  Community Giveaway airdrop is still going on.🥳 They will distribute 2000 $T among the participants u just need use ExSports AirdropBot 🗓 it will be ended  on 18th Oct.💵","Hi everyone, 🤘🤘🤘Ex-Sports  Community Giveaway airdrop is still going on.🥳 They will distribute 2000 $T among the participants u just need use ExSports AirdropBot 🗓 it will be ended  on 18th Oct.💵","Hi everyone, 🤘🤘🤘Ex-Sports Community Giveaway airdrop is still going on.🥳 They will distribute 2000 $T among the participants u just need use ExSports AirdropBot 🗓 it will be ended on 18th Oct.💵"
13447,"Dear Ethereum (ETH) Crypto Fans, Mark Your Calendars for Oct. 27

Ethereum crypto fans should be keeping a watch now as it prepares for one of its biggest upgrades yet.

As a way to ease into this major transition, the network is undergoing a ""Warm-up"" upgrade on Oct. 27.

Source 

↪️https://t.me/Cryptocurrency_Inside","Dear Ethereum (ETH) Crypto Fans, Mark Your Calendars for Oct. 27  Ethereum crypto fans should be keeping a watch now as it prepares for one of its biggest upgrades yet.  As a way to ease into this major transition, the network is undergoing a ""Warm-up"" upgrade on Oct. 27.  Source   ↪️https://t.me/Cryptocurrency_Inside","Dear Ethereum (ETH) Crypto Fans, Mark Your Calendars for Oct. 27 Ethereum crypto fans should be keeping a watch now as it prepares for one of its biggest upgrades yet. As a way to ease into this major transition, the network is undergoing a ""Warm-up"" upgrade on Oct. 27. Source ↪️https://t.me/Cryptocurrency_Inside"
13446,Hows it going,Hows it going,Hows it going
13445,Hey guys!,Hey guys!,Hey guys!
13442,Assalamaleku,Assalamaleku,Assalamaleku
13441,check it and see if yall like it,check it and see if yall like it,check it and see if yall like it
13440,found a good one called foxville.app it's basically a farm game also  got 3d nfts,found a good one called foxville.app it's basically a farm game also  got 3d nfts,found a good one called foxville.app it's basically a farm game also got 3d nfts
13439,i was checking the new upcoming nft projects,i was checking the new upcoming nft projects,i was checking the new upcoming nft projects
13438,hi guys,hi guys,hi guys
12008,last two projects was great...,last two projects was great...,last two projects was great...
12007,safe dev and awesome team behind...,safe dev and awesome team behind...,safe dev and awesome team behind...
